ID,名前,ルビ,ボード,登場作品,性別,属性,ポジション,カテゴリ,年代区分,学年,チーム,説明文,キック,コントロール,テクニック,プレッシャー,フィジカル,アジリティ,インテリジェンス,ビルド,合計値,シュートAT,フォーカスAT,フォーカスDF,城壁DF,スクランブルAT,スクランブルDF,KP
13,影野 仁,かげの じん,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,雷門中,不気味なオーラを持つ　影の薄い少年。 本人はもっと存在感が欲しいと思っている。,120,126,127,137,142,123,154,せいぎ,929,246,313,342.5,279,296,291,1192
14,目金 欠流,めがね かける,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,雷門中,自称メガネが似合う人気者。 見栄っ張りだが　オタク知識は本物。,154,151,137,123,119,113,135,せいぎ,932,305,365,328.5,242,254,258,1055
15,一之瀬 一哉,いちのせ かずや,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,雷門中,かつては天才と呼ばれた万能プレイヤー。 前線だけでなく守りにも気を配る。,140,151,147,123,123,113,135,きずな,932,291,368,338.5,246,258,258,1067
16,土門 飛鳥,どもん あすか,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,雷門中 帝国学園,軽いノリだが　その心は熱く 仲間を思う気持ちは人一倍。,120,126,127,137,142,123,154,テンション,929,246,313,342.5,279,296,291,1192
17,木野 秋,きの あき,1,イナズマイレブン,女,山,GK,マネージャー,中学生,二年生,雷門中,しっかり者で面倒見のいいお姉さんタイプ。 円堂守と共に　サッカー部を再建した。,126,135,127,137,147,155,135,テンション,962,261,325,339.5,284,282,272,1335
18,音無 春奈,おとなし はるな,1,イナズマイレブン,女,風,MF,マネージャー,中学生,一年生,雷門中,データ集めは　お手のもの！ そのサッカーセンスは鬼道ゆずり。,145,156,152,127,128,119,140,きずな,967,301,380.5,351.5,255,268,267,1114
19,雷門 夏未,らいもん なつみ,1,イナズマイレブン,女,火,FW,マネージャー,中学生,二年生,雷門中,美人だけど　気の強いお嬢様。 総一郎いわく　実は泣き虫。,169,161,147,123,119,119,130,きずな,968,330,392.5,336.5,242,249,253,1079
20,源田 幸次郎,げんだ こうじろう,1,イナズマイレブン,男,火,GK,選手,中学生,二年生,帝国学園 ネオジャパン,キング・オブ・ゴールキーパー。 王の前に死角は無い。,126,135,127,137,147,155,135,ひっさつ,962,261,325,339.5,284,282,272,1335
21,大野 伝助,おおの でんすけ,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,帝国学園,中学生離れした巨体の荒くれ者。 大地を揺るがすパワーを持つ。,116,120,123,133,138,119,149,ラフ,898,236,301,331.5,271,287,282,1156
22,万丈 一道,ばんじょう かずみち,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,帝国学園,どんな相手にも　物怖じせず食らいつき あらゆる手段でボールを奪う　まさに狂犬。,110,116,113,137,142,119,159,せいぎ,896,226,284,331.5,279,301,296,1176
23,成神 健也,なるかみ けんや,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,帝国学園 ネオジャパン,ヘッドホンが強さのヒミツ。 リズムに乗って　相手を翻弄する。,130,151,152,113,109,109,135,ひっさつ,899,281,368,341.5,222,244,248,989
24,五条 勝,ごじょう まさる,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,帝国学園,経歴など一切不明。 その心は　鬼道すら知るよしも無い。,120,126,127,137,142,123,154,きずな,929,246,313,342.5,279,296,291,1192
25,辺見 渡,へんみ わたる,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,帝国学園,帝国に高いプライドを持ち 他のチームを見下している。,130,151,152,113,109,109,135,ラフ,899,281,368,341.5,222,244,248,989
26,咲山 修二,さきやま しゅうじ,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,帝国学園,ラフプレイはお手のもの。 フィールドを駆ける暴走ヤロウ。,130,151,152,113,109,109,135,テンション,899,281,368,341.5,222,244,248,989
27,洞面 秀一郎,どうめん しゅういちろう,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,帝国学園,頭の回転が速く　トリッキーな動きが武器。 身軽な体格を活かしたフェイントも秀逸。,130,151,152,113,109,109,135,カウンター,899,281,368,341.5,222,244,248,989
28,寺門 大貴,じもん だいき,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,帝国学園 ネオジャパン,切り込み隊長として　前線を押し上げ 長い手足でダイナミックなシュートを放つ。,149,145,133,117,114,109,130,ラフ,897,294,352.5,317.5,231,244,247,1012
29,鬼道 有人,きどう ゆうと,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,帝国学園,的確な指示で　チームを勝利へ導く司令塔。 技術　戦略ともに最高のプレイヤー。,145,156,152,127,128,119,140,せいぎ,967,301,380.5,351.5,255,268,267,1114
30,佐久間 次郎,さくま じろう,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,帝国学園 イナズマジャパン,強力なシュート技を持つストライカー。 帝国学園の参謀役として鬼道を支える。,169,161,147,123,119,119,130,カウンター,968,330,392.5,336.5,242,249,253,1079
31,兵藤 雄平,ひょうどう ゆうへい,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,帝国学園,体が大きく足も速い。 あっという間に相手を抜き去る。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
32,恵那 和樹,えな かずき,1,イナズマイレブン,男,風,FW,選手,中学生,三年生,帝国学園,故障がちなのでレギュラーではないが その実力は十分。,145,141,127,113,109,105,126,ひっさつ,866,286,340.5,305.5,222,235,239,973
33,椋本 圭,むくもと けい,1,イナズマイレブン,男,風,FW,選手,中学生,一年生,帝国学園,体は小さいけれど ボールのキープ力はピカイチ。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
34,渋木 翔大,しぶき しょうだい,1,イナズマイレブン,男,風,MF,選手,中学生,三年生,帝国学園,外見とは裏腹に 細やかなプレイが得意。,126,145,147,107,105,105,130,ラフ,865,271,355,329.5,212,235,237,949
35,大楠 星士,おおくす せいじ,1,イナズマイレブン,男,山,FW,選手,中学生,二年生,帝国学園,ピンチの時に投入すると 熱いプレイを繰り広げるプレイヤー。,145,141,,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
36,影山 零治,かげやま れいじ,1,イナズマイレブン,男,風,MF,監督,大人,-,帝国学園 真・帝国学園,帝国学園総帥で　帝国サッカー部の監督。 目的のためには手段を選ばない　非道な性格。,130,151,152,113,109,109,135,テンション,899,281,368,341.5,222,244,248,989
37,安西 勝,あんざい まさる,1,イナズマイレブン,男,林,DF,コーチ,大人,-,帝国学園,帝国学園の教師で　帝国サッカー部の顧問。 影山が去った後　監督代行となった。,110,116,117,127,133,113,145,テンション,861,127,288,318.5,260,278,272,1105
38,鉈 十三,なた じゅうぞう,1,イナズマイレブン,男,風,GK,選手,中学生,二年生,尾刈斗中,グラウンドの草刈りにナタを使う アブないヤツ。,116,126,117,127,138,145,126,ラフ,895,242,301,315.5,265,264,253,1248
39,三途 渡,さんず わたる,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,尾刈斗中,霊体験をしてからは 本人も　生きている自信が持てないという。,106,110,107,133,138,113,154,せいぎ,861,216,270,317.5,271,292,287,1132
40,柳田 しげる,やなぎだ しげる,1,イナズマイレブン,男,風,DF,選手,中学生,一年生,尾刈斗中,妖怪研究が趣味。 何かあると何でも妖怪のせいにする。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
41,不乱 拳,ふらん けん,1,イナズマイレブン,男,山,DF,選手,中学生,三年生,尾刈斗中,生き物を作り出す研究をしているが 生物はニガテ科目らしい。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
42,屍 藤美,しかばね ふじみ,1,イナズマイレブン,男,火,DF,選手,中学生,二年生,尾刈斗中,自分は不死身だと信じて わざとアブないことをする向こう見ずな選手。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
43,霊幻 道久,れいげん みちひさ,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,尾刈斗中,体が硬いので　跳ねるように飛び回って 相手をかく乱する。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
44,木乃伊 魔美,きのい まみ,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,尾刈斗中,肌が乾燥しやすい体質のため いつも包帯をぐるぐるに巻いている。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
45,八墓 祟,やつはか たたる,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,尾刈斗中,呪いや祟りに詳しく 怒らせると災いが訪れると言われている。,130,141,137,113,114,105,126,カウンター,866,271,343,315.5,227,240,239,988
46,幽谷 博之,ゆうこく ひろゆき,1,イナズマイレブン,男,林,FW,選手,中学生,一年生,尾刈斗中 ネオジャパン,するどい霊感と　強い霊能力を活かして 有名選手の霊から指導を受けているという。,159,151,137,113,109,109,120,ラフ,898,310,367.5,311.5,222,229,233,989
47,月村 憲一,つきむら けんいち,1,イナズマイレブン,男,火,MF,選手,中学生,三年生,尾刈斗中,月を見ると凶暴になるため 『オオカミ男』と呼ばれている。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
48,武羅渡 牙,ぶらど きば,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,尾刈斗中,ナイターで最も活躍するフシギ体質。 いつもトマトジュースを飲んでいる。,130,151,152,113,109,109,135,ラフ,899,281,368,341.5,222,244,248,989
49,不死 祀,ふし まつる,1,イナズマイレブン,男,山,GK,選手,中学生,三年生,尾刈斗中,どんな大ケガにも ほとんど痛みを感じない体の持ち主。,110,120,113,127,133,137,120,テンション,860,230,288,301.5,260,253,247,1201
50,人形 幻,ひとがた げん,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,尾刈斗中,昔の記憶がまったくなく 自分を人造人間だと思っている。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
51,円谷 未知,つぶらや みち,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,尾刈斗中,ＵＦＯの存在を信じており 毎晩　夜空をチェックしている。,145,141,127,113,109,105,126,ひっさつ,866,286,340.5,305.5,222,235,239,973
52,黒上 呪,くろがみ のろい,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,尾刈斗中,黒魔術に詳しく 試合前に相手チームを呪っているとか。,145,141,127,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
53,魔界 崇雄,まかい たかお,1,イナズマイレブン,男,林,MF,選手,中学生,三年生,尾刈斗中,自分は人間ではないと言い張り いつも奇妙な覆面をしている。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
54,地木流 灰人,じきる はいと,1,イナズマイレブン,男,山,DF,監督,大人,-,尾刈斗中,表と裏の顔を持つ　尾刈斗中の監督。 普段は温厚だが　怒ると性格が一変する。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
56,提灯 ほのり,ちょうちん ほのり,1,イナズマイレブン,女,風,GK,マネージャー,中学生,二年生,尾刈斗中,なぜか　マネージャーを何年も務めているが 部員以外は誰も　その存在を知らないという。,110,120,113,127,133,137,120,カウンター,860,230,288,301.5,260,253,247,1201
57,猪口 兵吾,いのくち ひょうご,1,イナズマイレブン,男,火,GK,選手,中学生,三年生,野生中,ボールにまっすぐ突っ込んで キープする姿は　まさにイノシシ！,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
58,鶏井 亮太,とりい りょうた,1,イナズマイレブン,男,火,MF,選手,中学生,一年生,野生中,まるで　ニワトリのツッツキのように しつこくチャージを繰り返す。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
59,魚住 拓人,うおずみ たくと,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,野生中,海の生物に詳しいが　泳げない。 プールの授業は休みがち。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
60,蛙田 達士,かえるだ たつひと,1,イナズマイレブン,男,林,DF,選手,中学生,一年生,野生中,ジャンプ力がすごく 部屋中カエルグッズで溢れている。,106,110,107,133,138,113,154,カウンター,861,216,270,317.5,271,292,287,1132
61,獅子王 吼,ししおう こう,1,イナズマイレブン,男,山,DF,選手,中学生,三年生,野生中,彼に逆らえる者は誰もいない。 野生の王として守りを固める。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
62,香芽 レオン,かめ れおん,1,イナズマイレブン,男,風,MF,選手,中学生,三年生,野生中,存在感を完全に消し去り こっそりボールを奪っていく。,135,145,142,117,119,109,130,ひっさつ,897,280,354.5,326.5,236,249,247,1027
63,大鷲 誠次,おおわし せいじ,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,野生中,ワシのような視力で相手の動きを読み取り 襲いかかってくる。,126,145,147,107,105,105,130,テンション,865,271,355,329.5,212,235,237,949
64,猿田 登,さるた のぼる,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,野生中,体は小さいけど　曲芸のような動きで 相手を翻弄するぞ。,126,145,147,107,105,105,130,ラフ,865,271,355,329.5,212,235,237,949
65,五利 真吾,ごり しんご,1,イナズマイレブン,男,山,FW,選手,中学生,二年生,野生中,いかつい顔と　がっしりした体格で 敵ゴールに殴り込む。,145,141,127,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
66,蛇丸 彰真,へびまる しょうま,1,イナズマイレブン,男,林,FW,選手,中学生,三年生,野生中,ボールに食らいつくと まるで巻きついたかのように離さない。,145,141,127,113,109,105,126,ひっさつ,866,286,340.5,305.5,222,235,239,973
67,水前寺 馳威太,すいぜんじ ちいた,1,イナズマイレブン,男,風,FW,選手,中学生,三年生,野生中,１００メートル１０秒台の　驚異の速度で 本物のチーターのように　敵を追い詰める。,159,151,137,113,109,109,120,ラフ,898,310,367.5,311.5,222,229,233,989
68,小荒 登,こあら のぼる,1,イナズマイレブン,男,林,MF,選手,中学生,一年生,野生中,地面よりも木の上が落ち着くという 変な性格の持ち主。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
69,判 竹夫,ばん たけお,1,イナズマイレブン,男,火,FW,選手,中学生,三年生,野生中,一見優しそうで　みんなのアイドルだが 実は性格はけっこう凶暴。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
70,荒井川 熊巳,あらいがわ くまみ,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,野生中,食べ物の綺麗さにこだわり 食材は一度は洗わないと気が済まない。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
71,根津 光夫,ねず みつお,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,野生中,チーズが大好きで　食べにくい 青カビチーズも　たくさん食べている。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
72,牛尾 空也,うしお くうや,1,イナズマイレブン,男,火,GK,選手,中学生,三年生,野生中,食べ物が切れると 猛牛のように暴れ出す食いしん坊。,110,120,113,123,133,141,120,テンション,860,230,288,303.5,256,253,243,1209
73,他山 幸助,たざん こうすけ,1,イナズマイレブン,男,風,MF,監督,大人,-,野生中,ターザンのような雄叫びを上げて 選手たちとコミュニケーションが取れる。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
74,富良 民子,ふら みんこ,1,イナズマイレブン,女,火,FW,マネージャー,中学生,二年生,野生中,生傷が絶えないが　サポートは元気いっぱい！ フラミンゴのように　片足で立つ癖がある。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
75,杉森 威,すぎもり たけし,1,イナズマイレブン,男,林,GK,選手,中学生,三年生,御影専農中,洗脳によって心の乱れを消し去った 御影の司令塔。,116,126,117,127,138,145,126,カウンター,895,242,301,315.5,265,264,253,1248
77,弘山 誘,ひろやま ゆう,1,イナズマイレブン,男,風,DF,選手,中学生,一年生,御影専農中,人気者になりたくてサッカーしていたが 今は　それを洗脳に頼っている。,106,110,107,133,138,113,154,ひっさつ,861,216,270,317.5,271,292,287,1132
79,花岡 強,はなおか つよし,1,イナズマイレブン,男,火,DF,選手,中学生,二年生,御影専農中,体は強化されたものの 時に　我を失ってしまうようになった。,106,110,107,133,138,113,154,せいぎ,861,216,270,317.5,271,292,287,1132
81,室伏 恐,むろぶし きょう,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,御影専農中,洗脳で恐怖を植えつけられ 何かに怯え　力を引き出している。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
83,稲田 則,いなだ のり,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,御影専農中,洗脳によって　どんな行動でも 規則通りにこなすようになった。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
85,寺川 巌,てらかわ いわお,1,イナズマイレブン,男,火,MF,選手,中学生,三年生,御影専農中,洗脳によって感情を失い 危ないプレイも平気で行う。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
87,藤丸 啓,ふじまる けい,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,御影専農中,洗脳で神を見たと信じ込み 命令を疑うことはない。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
89,山郷 暴,さんごう ばく,1,イナズマイレブン,男,火,MF,選手,中学生,三年生,御影専農中,洗脳によって凶暴性が増し 反則すれすれの激しいプレイをする。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
91,山岸 迫,やまぎし せり,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,御影専農中,絶対勝たなければという プレッシャーを植えつけられた　孤独な選手。,159,151,137,113,109,109,120,せいぎ,898,310,367.5,311.5,222,229,233,989
93,大部 信,おおべ しん,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,御影専農中,洗脳によって自分たちのサッカーが 一番だと信じ込まされている。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
95,下鶴 改,しもづる あらた,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,御影専農中,おとなしかった性格が　洗脳によって 攻撃的になってしまったという。,159,151,137,113,109,109,120,テンション,898,310,367.5,311.5,222,229,233,989
97,真下 乏,ましも とぼし,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,御影専農中,貧しい家を救うために 洗脳を受けてプロになろうとしている。,110,120,113,123,133,141,120,テンション,860,230,288,303.5,256,253,243,1209
99,都築 静,つづき しずか,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,御影専農中,洗脳で　出せなかった本当の自分が 出せるようになったという。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
101,平生 仁,ひらお じん,1,イナズマイレブン,男,山,MF,選手,中学生,三年生,御影専農中,サッカー好きな病気の弟を励ますため 洗脳を受けることにした。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
103,長友 喪,ながとも そう,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,御影専農中,洗脳によって　試合でやった反則を まったく覚えていない。,145,141,127,113,109,105,126,ラフ,866,286,340.5,305.5,222,235,239,973
104,水淵 無,みずぶち なし,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,御影専農中,周りから見下されていたが 洗脳で　全てを見下すようになった。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
106,富山 新一郎,とやま しんいちろう,1,イナズマイレブン,男,林,MF,監督,大人,-,御影専農中,サッカーサイボーグと言われるほど データ通りの完璧なサッカーを指揮する。,130,141,137,113,114,105,126,カウンター,866,271,343,315.5,227,240,239,988
107,相戸留 捜,あいどる そう,1,イナズマイレブン,男,山,GK,選手,中学生,二年生,秋葉名戸学園,デビュー前のアイドルを追っかけ 将来のスターを探す情熱家。,116,126,117,127,138,145,126,テンション,895,242,301,315.5,265,264,253,1248
108,線路 鉄雄,すじみち てつお,1,イナズマイレブン,男,火,DF,選手,中学生,三年生,秋葉名戸学園,鉄道模型が大好きで いつか線路だけの部屋を持つのが夢。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
109,野部流 来人,のべる らいと,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,秋葉名戸学園,ライトノベルが好きで 自分でも毎月コンテストに作品を送っている。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
110,無敵 英雄,むてき ひでお,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,秋葉名戸学園,特撮ヒーローに憧れ 近所の小学生とヒーローごっこをしている。,130,151,152,113,109,109,135,カウンター,899,281,368,341.5,222,244,248,989
111,仮沢 装,かりさわ そう,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,秋葉名戸学園,アニメのコスプレをするのが大好き。 お金がないので服は自分で作る。,106,110,107,133,138,113,154,ラフ,861,216,270,317.5,271,292,287,1132
112,御良 一輝,おんら いつき,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,秋葉名戸学園,ネットワークゲームにハマって夜ふかしし 授業中はいつも寝ている。,145,141,127,113,109,105,126,せいぎ,866,286,340.5,305.5,222,235,239,973
113,自作 派流,おのとも はる,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,秋葉名戸学園,パソコンは全部自分で組み立てる。 家には１０台を超えるマシンが。,145,141,127,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
114,呂簿 合機,ろぼ ごうき,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,秋葉名戸学園,ロボットアニメが彼の生きがい。 合体シーンではテレビに絶叫。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
115,芸夢 好武,げいむ このむ,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,秋葉名戸学園,筋金入りのゲームマニア。 ゲームはすべて発売日に手に入れる。,145,141,127,113,109,105,126,テンション,866,286,340.5,305.5,222,235,239,973
116,漫画 萌,まんが もえ,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,秋葉名戸学園,中学生にして売れっ子の　マンガ作家。 学校でもよくサインをねだられるという。,159,151,137,113,109,109,120,きずな,898,310,367.5,311.5,222,229,233,989
117,明井戸 達人,あけいと たつひと,1,イナズマイレブン,男,林,FW,選手,中学生,三年生,秋葉名戸学園,ゲームセンターのメダルで 生活しているというゲームの達人。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
118,木内 努,きうち つとむ,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,秋葉名戸学園,自分でラジオやトランシーバーなどを 組み立てるのが得意なパーツマニア。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
119,造形 製雄,ぞうけい さくお,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,秋葉名戸学園,フィギュア作りはプロ顔負けの技術で その作品は　プレミアつきらしい。,106,110,107,133,138,113,154,ひっさつ,861,216,270,317.5,271,292,287,1132
120,闘馬 草太,とうま そうた,1,イナズマイレブン,男,火,GK,選手,中学生,一年生,秋葉名戸学園,格闘ゲームが大好きで 人気のないキャラで勝つのがポリシー。,110,120,113,127,133,137,120,テンション,860,230,288,301.5,260,253,247,1201
121,声模 索太,せいも さくた,1,イナズマイレブン,男,風,DF,選手,中学生,二年生,秋葉名戸学園,声優になりたくて いつも　声マネの練習をしている。,106,110,107,133,138,113,154,カウンター,861,216,270,317.5,271,292,287,1132
122,熱斗 探李,ねっと さぐり,1,イナズマイレブン,男,林,DF,選手,中学生,一年生,秋葉名戸学園,ネットで面白いサイトを探しては ウイルスに感染している　懲りない人。,106,110,107,133,138,113,154,カウンター,861,216,270,317.5,271,292,287,1132
123,真二屋 才人,まにや さいと,1,イナズマイレブン,男,山,MF,監督,大人,-,秋葉名戸学園,メイド喫茶に入り浸り　スイカ入りの オリジナルメニューまで考案した。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
124,明童 芽衣奈,めいどう めいな,1,イナズマイレブン,女,林,DF,マネージャー,中学生,二年生,秋葉名戸学園,試合中もキュートなメイド服を身にまとい 疲れた選手たちを　笑顔で癒やす。,106,110,107,133,138,113,154,ひっさつ,861,216,270,317.5,271,292,287,1132
125,百地 三太,ももち さんた,1,イナズマイレブン,男,林,GK,選手,中学生,三年生,戦国伊賀島中,守りの堅い名キーパーだが その素顔はチームメイトにも見せない。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
126,藤林 長門,ふじばやし ながと,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,戦国伊賀島中,ライフルの名手で １００メートル先の小さな的でも外さない。,106,110,107,133,138,113,154,テンション,861,216,270,317.5,271,292,287,1132
127,高坂 仁,こうさか じん,1,イナズマイレブン,男,風,DF,選手,中学生,二年生,戦国伊賀島中,すぐに熱を出しやすい体質で 十分に活躍できたためしがない。,106,110,107,133,138,113,154,せいぎ,861,216,270,317.5,271,292,287,1132
